SitePatch,SurveyDate,SiteNumber,SiteName,SiteType,State,FieldID,FlowID,SporeID,StomateID,SpeciesFinal,Habitat,Latitude,Longitude,Elevation,PatchSize,RamNum,RamDens,PCC,MicSlope,MicAspect,AdjMicAspect,final_MicAspect,MicHs,MacSlope,MacAspect,AdjMacAspect,final_MacAspect,MacHs,HsPos,LitDep,DepO,DepA,DepSoil,TexComp,pH,PctOM,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,ExchAcid,ECEC,Ca_BS,Mg_BS,K_BS,Pb,Ni,Cd,Cr,Ca:Mg
1.1,2016-06-07,1,FarrellWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.28627,-72.58031,231,52,30,0.576923076923077,85.44,30,110,110,E,LC,27,102,102,E,CC,Bs,2.28571428571429,2.57142857142857,5.57142857142857,13.8571428571429,sandy loam/sandy clay loam,4.66,6.786,3.3,74,415,54,4.3,0.15,55.8,0.2,38.4,265,7,24,7.78,2.71,19.77,4.29,1.81,0.8,0.25,0.1,0.15,7.68518518518519
1.2,2016-06-16,1,FarrellWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.285929,-72.579581,224.59,509.5,92,0.180569185475957,88.82,31,102,102,E,"LV, VV, CC, LL",29,108,108,E,CC,Sh/Bs,1.875,1.9375,5.0625,12.5,loam/clay loam,4.6,6.149,2,59,302,71,10.1,0.1,42.5,0.25,43.1,166,7,12,7.44,2.25,15.59,6.11,1.56,0.45,0.5,0.1,0.1,4.25352112676056
2.1,2016-06-20,2,ChapelWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.3049,-72.51934,384,31,5,0.161290322580645,88.82,5,211,211,S,LC,7.5,90,90,NE,CC,Bs,2.8,3.25,10,5.625,loam,6.1,8.606,1.1,34,2010,89,3.6,0.15,30,0.1,2.5,25,13,6,2.71,10.88,73.96,5.46,0.64,0.15,0.35,0.1,0,22.5842696629213
2.2,2016-06-21,2,ChapelWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.3045,-72.51974,379,44,30,0.681818181818182,87.26,7,179,179,SE,VV,10,292,292,W,CC,Ts,1.25,2.5,5.9,7.2,loam/clay loam,6.06,4.966,1.05,34,1525,67,3,0.2,12.4,0.15,5.2,79,9,9,2.28,8.27,72.25,5.29,0.83,0.6,0.4,0.05,0.05,22.7611940298507
2.3,2017-06-08,2,ChapelWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.30673,-72.52051,391.85,40,85,2.125,76.08,10,194,194,S,"LL,LC",5,198,198,S,LC,Bs,2.375,2.625,11.625,16.875,clay loam,5.41,5.967,0.9,34,1156,53,2.05,0.05,31.4,0.1,5.4,55,8,9,4.43,6.31,53.83,4.11,0.81,0.2,0.5,0.1,0,21.811320754717
3.1,2016-06-23,3,ElmoreSP,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.53037,-72.54168,594,26,22,0.846153846153846,85.7,3,70,70,NE,CC,15,94,94,E,CC,Ts,3.5,3,13.66,10,clay loam,5.47,11.518,1.1,24,458,40,2.25,0.1,21.2,0.4,7.2,549,12,14,7.38,2.68,22.75,3.31,0.61,0.4,0.45,0.05,0.2,11.45
3.2,2017-07-13,3,ElmoreSP,NS,VT,P,P,,,P,Rich Northern Hardwood Forest,44.53283,-72.54172,562,179,134,0.748603351955307,83.36,10,52,52,NE,LL,22,42,42,N,LC,Bs/Ts,1.75,2.75,14.5,25.5,silty clay loam,5.32,8.697,0.9,38,745,44,3.5,0.1,23.4,4.9,6.3,193,12,11,5.83,4.19,37.17,3.66,0.97,1.15,0.55,0.15,0.05,16.9318181818182
4.1,2016-07-03,4,CoolidgeSF,NS,VT,P,,,,P,Rich Northern Hardwood Forest,43.55442,-72.76347,575,39.25,31,0.789808917197452,87.52,24,76,76,NE,VV,22,70,70,NE,CC,Sh/Bs,2.5,1.3125,7.875,11.3125,loam,5.82,4.966,0.9,44,989,128,2.05,0.15,12.9,0.1,9.5,60,6,4,2.96,6.12,54.44,11.74,1.24,0.55,0.25,0.05,0.05,7.7265625
4.2,2016-07-04,4,CoolidgeSF,NS,VT,P,,,,P,Rich Northern Hardwood Forest,43.55691,-72.76359,562,90,71,0.788888888888889,86.22,19,82,82,NE,LV,18,66,66,NE,LC,Bs,2.5,0.875,7.28571428571429,17.4,loam/clay loam,5.85,5.33,0.95,32,1407,109,2.7,0.15,16.5,0.15,4.4,25,7,4,2.8,8.03,64.99,8.39,0.76,0.4,0.25,0.1,0,12.9082568807339
5.1,2016-07-05 & 2016-07-06,5,MineralSpringsKnob,S,VT,V,V,,,V,Serpentine Outcrop,44.8628,-72.41673,263,150,91,0.606666666666667,74.78,36,148,148,SE,"LC, LV",60,130,130,E,LC,Bs/Ts,1.5,1.25,3.093,3.76666666666667,loam/sandy loam,6.72,13.884,3.5,60,531,1806,1.05,0.8,13.9,0.1,1.9,4,10,6,1.8,17.86,13.51,76.56,0.78,0.65,3.9,0.1,0.3,0.294019933554817
5.2,2016-07-07 & 2016-07-11,5,MineralSpringsKnob,S,VT,V,V,V,,V,Serpentine Forest,44.86346,-72.41615,269,75,35,0.466666666666667,83.36,24,64,64,NE,"LC, LV, LL",26,50,50,NE,LC,Bs/Ts,4,2.15,3.75,6.22727272727273,loam/clay loam,5.62,13.793,3.2,81,464,1363,5.1,0.25,34.8,0.1,9,15,12,8,5.26,13.89,12.12,59.34,1.08,0.7,9.9,0.15,0.45,0.340425531914894
5.3,2016-08-29,5,MineralSpringsKnob,S,VT,A&V,V,A,,A&V,Serpentine Outcrop,44.86296,-72.41655,265.2,8,25,3.125,77.64,5,140,140,SE,LC,38,151,151,SE,LC,Sh/Bs,2.57142857142857,1.5,3.64285714285714,4.85714285714286,NA,5.65,20.163,3.5,87,401,1415,2.15,0.1,18,0.1,27.2,19,11,8,6.51,14.02,9.76,57.43,1.09,1.25,7.2,0.1,0.75,0.28339222614841
5.4,2017-10-13,5,MineralSpringsKnob,S,VT,A,,A,,A,Serpentine Outcrop,44.86287,-72.41695,265,4,6,1.5,61.78,10,135,135,E,LL,22,136,136,SE,LV,Sh,2.18181818181818,2.95454545454545,1.31818181818182,2.95454545454545,clay loam,5.31,47.281,4.55,102,493,850,4.1,0.05,35.7,0.05,8,10,17,10,13.24,9.81,10.7,30.74,1.13,2.6,3.7,0.1,0.05,0.58
6.1,2016-07-13,6,BrownsLedges,S,VT,V&P,V,,,V&P,Rich Northern Hardwood Serpentine Forest,44.83243,-72.45392,463,1200,55,0.045833333333333,89.08,42,84,84,NE,"LV, LC",39,90,90,NE,LC,Bs/Fs,1.5,2.25,5.4,5.85,loam,5.62,17.342,3,86,1125,813,8.55,0.2,71.7,0.1,6.7,27,17,14,6.05,12.62,30.13,36.29,1.18,0.1,7.05,0.2,0.1,1.38376383763838
6.2,2016-07-14,6,BrownsLedges,S,VT,A&V,A&V,,,A&V,Serpentine Outcrop,44.82899,-72.45531,420,29,22,0.758620689655172,71.14,44,173,173,SE,"LC, LL",54,175,175,SE,LC,Bs,3.79166666666667,1.1,2.81818181818182,3.3,NA,5.6,31.265,5.55,82,543,1240,3,0.15,11,0.05,4.1,4,11,7,8.94,13.26,12.23,46.55,0.95,0.8,2.8,0.1,0,0.437903225806452
6.3,2016-08-01 & 2016-08-02,6,BrownsLedges,S,VT,A&V,A&V,,,A&V,Serpentine Outcrop,44.82944,-72.45465,428,36,14,0.388888888888889,75.04,49,129,129,E,"LL, LC",52,108,108,E,LC,Sh/Bs,2.44,2.66,3.3,4.22,NA,6.53,20.527,2.75,92,514,2030,0.95,0.35,13.5,0.05,4.6,3,7,5,3.78,19.72,10.93,71.97,1,0.65,11.1,0.1,0,0.25320197044335
6.4,2016-08-03,6,BrownsLedges,S,VT,V,V,,,V,Serpentine Outcrop,44.83096,-72.459,453,282.6,65,0.230007077140835,76.86,43,118,118,E,"LV,LL",60,110,110,E,LC,Bs,2.8125,3.66666666666667,3.33333333333333,4.75,clay loam,6.29,39.819,7.25,75,935,2034,4.15,0.55,13.3,0.05,2.1,2,16,9,8.58,21.82,15.38,55.76,0.63,0.7,9,0.1,0,0.45968534906588
6.5,2016-08-04,6,BrownsLedges,S,VT,A,A,A,,A,Serpentine Outcrop,44.82948,-72.45616,450.799185574426,3.25,10,3.07692307692308,84.66,16,344,344,NW,LC,49,240,240,SW,LC,Bs,2.11,2.22,3.75,5.11,clay loam,5.79,29.809,2.2,92,497,1544,1.25,0.2,28.2,0.1,13.1,5,29,7,8.05,15.59,10.51,54.44,1,1.55,10.35,0.1,0.05,0.321891191709844
