"CMAP.GI50" "CMAP.TGI" "CMAP.LC50"
"8-azaguanine" 1.8 -0.6 -0.6
"acetylsalicylic acid" 0 0 0
"allantoin" -0.6 -0.6 -0.6
"altretamine" -0.9 -0.9 -0.9
"alvespimycin" 0.0999999999999996 -0.9 -2.7
"amitriptyline" 0 -0.4 -0.800000000000001
"amphotericin B" 0.0999999999999996 -0.800000000000001 -1.3
"anisomycin" 3.1 2.6 -0.8
"asiaticoside" -0.800000000000001 -1.1 -1.4
"benzylpenicillin" -1 -1 -1
"bergenin" -0.9 -0.9 -0.9
"betulinic acid" 0.4 -0.199999999999999 -1
"bisacodyl" -0.6 -0.9 -1
"boldine" -0.9 -0.9 -0.9
"canadine" -0.9 -0.9 -0.9
"carbarsone" -0.8 -0.8 -0.8
"cephaeline" 2.9 2.3 2
"chenodeoxycholic acid" -0.8 -1 -1
"chloramphenicol" -0.9 -0.9 -0.9
"cinchonine" -0.9 -0.9 -0.9
"coralyne" -0.4 -1 -1
"dequalinium chloride" 1.1 0.5 -0.8
"dinoprost" -1.1 -1.1 -1.1
"diphenhydramine" -0.9 -0.9 -0.9
"domperidone" -0.399999999999999 -0.699999999999999 -1.1
"econazole" 0.2 -0.3 -0.8
"emetine" 2.7 2.2 1.1
"flucytosine" -0.5 -0.5 -0.5
"fluorometholone" -1 -1 -1
"fulvestrant" -0.9 -2 -2
"geldanamycin" 3.8 0.7 -1
"genistein" -0.9 -1 -1
"griseofulvin" 0.0999999999999996 -0.7 -1
"homatropine" -1 -1 -1
"isoflupredone" -1 -1 -1
"lanatoside C" 2 1.2 -1.4
"letrozole" -2.6 -2.6 -2.6
"lithocholic acid" -0.2 -0.6 -0.9
"lycorine" 0.699999999999999 0.199999999999999 -0.9
"megestrol" 0.0999999999999996 -0.8 -1
"myricetin" -0.7 -0.9 -0.9
"nalidixic acid" -0.8 -0.8 -0.8
"naringin" -1.2 -1.2 -1.2
"nordihydroguaiaretic acid" -0.5 -1.6 -1.9
"nortriptyline" -0.2 -0.4 -0.7
"nystatin" -0.800000000000001 -1.1 -1.4
"ouabain" 2.7 1.3 -1.3
"palmatine" -1 -1 -1
"pentamidine" -0.4 -1 -1.2
"phenformin" -0.8 -0.8 -0.8
"pilocarpine" -0.8 -0.8 -0.8
"Prestwick-665" -0.9 -0.9 -0.9
"primaquine" -0.199999999999999 -0.699999999999999 -1
"progesterone" 0.0999999999999996 -0.9 -0.9
"promethazine" -0.300000000000001 -0.600000000000001 -0.800000000000001
"raloxifene" 0.5 -0.3 -1.1
"saquinavir" 0 -0.8 -1.3
"securinine" 0 -0.600000000000001 -0.7
"seneciphylline" -0.9 -0.9 -0.9
"sirolimus" -2.2 -3 -4
"sisomicin" -1.6 -1.6 -1.6
"solanine" -0.3 -0.8 -1.1
"solasodine" -0.2 -0.5 -0.9
"sparteine" -0.8 -0.8 -0.8
"spectinomycin" -1 -1 -1
"streptozocin" -1.5 -1.7 -1.7
"tanespimycin" 1.3 -0.0999999999999996 -1.8
"terconazole" -0.3 -0.699999999999999 -1
"testosterone" 0.3 -0.300000000000001 -0.800000000000001
"tetrandrine" -0.2 -0.5 -0.9
"theophylline" -0.7 -0.7 -0.7
"thioguanosine" 0.8 0 -0.9
"thioridazine" 0.5 0 -0.9
"tretinoin" -1.4 -1.9 -2
"triflupromazine" -0.2 -0.6 -1
"valproic acid" -1.1 -1.4 -1.4
"vincamine" -1 -1 -1
"vorinostat" 0.9 -0.2 -1
