"","Elevation","PCC","MacSlope","LitDep","DepO","DepA","pH","PctOM","P","K","Ca","Mg","B","Mn","Cu","Fe","Al","Na","S","ECEC","Pb","Ni","Cd","Cr"
"1",231,85.44,27,2.28571428571429,2.57142857142857,5.57142857142857,4.66,6.786,3.3,74,415,54,0.15,55.8,0.2,38.4,265,7,24,2.71,0.8,0.25,0.1,0.15
"2",224.59,88.82,29,1.875,1.9375,5.0625,4.6,6.149,2,59,302,71,0.1,42.5,0.25,43.1,166,7,12,2.25,0.45,0.5,0.1,0.1
"3",384,88.82,7.5,2.8,3.25,10,6.1,8.606,1.1,34,2010,89,0.15,30,0.1,2.5,25,13,6,10.88,0.15,0.35,0.1,0
"4",379,87.26,10,1.25,2.5,5.9,6.06,4.966,1.05,34,1525,67,0.2,12.4,0.15,5.2,79,9,9,8.27,0.6,0.4,0.05,0.05
"5",391.85,76.08,5,2.375,2.625,11.625,5.41,5.967,0.9,34,1156,53,0.05,31.4,0.1,5.4,55,8,9,6.31,0.2,0.5,0.1,0
"6",594,85.7,15,3.5,3,13.66,5.47,11.518,1.1,24,458,40,0.1,21.2,0.4,7.2,549,12,14,2.68,0.4,0.45,0.05,0.2
"7",562,83.36,22,1.75,2.75,14.5,5.32,8.697,0.9,38,745,44,0.1,23.4,4.9,6.3,193,12,11,4.19,1.15,0.55,0.15,0.05
"8",575,87.52,22,2.5,1.3125,7.875,5.82,4.966,0.9,44,989,128,0.15,12.9,0.1,9.5,60,6,4,6.12,0.55,0.25,0.05,0.05
"9",562,86.22,18,2.5,0.875,7.28571428571429,5.85,5.33,0.95,32,1407,109,0.15,16.5,0.15,4.4,25,7,4,8.03,0.4,0.25,0.1,0
"10",263,74.78,60,1.5,1.25,3.093,6.72,13.884,3.5,60,531,1806,0.8,13.9,0.1,1.9,4,10,6,17.86,0.65,3.9,0.1,0.3
"11",269,83.36,26,4,2.15,3.75,5.62,13.793,3.2,81,464,1363,0.25,34.8,0.1,9,15,12,8,13.89,0.7,9.9,0.15,0.45
